Temp. level:    0.008     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.008     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.008     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.007     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.007     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.007     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.007     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.007     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.006     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.006     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.006     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.006     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.006     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.005     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.005     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.005     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.005     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.005     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.005     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.005     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.004     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.004     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.004     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.004     Acceptance ratio:    0.004     Current cost:        0.790
Temp. level:    0.004     Acceptance ratio:    0.000     Current cost:        0.790
Temp. level:    0.004     Acceptance ratio:    0.000     Current cost:        0.790
Temp. level:    0.004     Acceptance ratio:    0.000     Current cost:        0.790
Temp. level:    0.004     Acceptance ratio:    0.000     Current cost:        0.790
Temp. level:    0.003     Acceptance ratio:    0.000     Current cost:        0.790
Temp. level:    0.003     Acceptance ratio:    0.000     Current cost:        0.790
Temp. level:    0.003     Acceptance ratio:    0.000     Current cost:        0.790
Temp. level:    0.003     Acceptance ratio:    0.000     Current cost:        0.790
Temp. level:    0.003     Acceptance ratio:    0.000     Current cost:        0.790
Temp. level:    0.003     Acceptance ratio:    0.000     Current cost:        0.790
Temp. level:    0.003     Acceptance ratio:    0.000     Current cost:        0.790
Temp. level:    0.003     Acceptance ratio:    0.000     Current cost:        0.790
Temp. level:    0.003     Acceptance ratio:    0.000     Current cost:        0.790
Temp. level:    0.003     Acceptance ratio:    0.000     Current cost:        0.790
Temp. level:    0.003     Acceptance ratio:    0.000     Current cost:        0.788
Temp. level:    0.002     Acceptance ratio:    0.000     Current cost:        0.788
Temp. level:    0.002     Acceptance ratio:    0.000     Current cost:        0.788
Temp. level:    0.002     Acceptance ratio:    0.000     Current cost:        0.788
Temp. level:    0.002     Acceptance ratio:    0.000     Current cost:        0.788
sectors ABAD0001 on ch 21,ABAQ0001 on ch 20, cost =0.004
sectors ABAE0002 on ch **,ABAS0001 on ch **, cost =0.001
sectors ABAG0003 on ch 63,ABAH0005 on ch 63, cost =0.015
sectors ABAG0003 on ch 15,ABAP0001 on ch 15, cost =0.009
sectors ABAG0003 on ch 15,ABBA0001 on ch 15, cost =0.002
sectors ABAH0003 on ch  8,ABAI0003 on ch  8, cost =0.002
sectors ABAH0003 on ch 58,ABAJ0003 on ch 58, cost =0.005
sectors ABAH0003 on ch 73,ABAJ0003 on ch 73, cost =0.005
sectors ABAH0003 on ch 73,ABAK0001 on ch 73, cost =0.004
sectors ABAH0003 on ch 39,ABAK0003 on ch 39, cost =0.081
sectors ABAH0003 on ch 87,ABAK0003 on ch 87, cost =0.081
sectors ABAH0003 on ch 44,ABAK0003 on ch 44, cost =0.081
sectors ABAH0003 on ch 68,ABAL0003 on ch 69, cost =0.001
sectors ABAH0003 on ch 53,ABAM0002 on ch 53, cost =0.004
sectors ABAH0003 on ch 77,ABAM0002 on ch 77, cost =0.004
sectors ABAH0003 on ch 44,ABAM0003 on ch 45, cost =0.002
sectors ABAH0003 on ch 93,ABAN0003 on ch 93, cost =0.004
sectors ABAH0003 on ch 48,ABAP0001 on ch 49, cost =0.002
sectors ABAH0003 on ch 44,ABAQ0001 on ch 44, cost =0.028
sectors ABAH0003 on ch 68,ABAU0003 on ch 68, cost =0.017
sectors ABAH0003 on ch 73,ABBC0001 on ch 72, cost =0.002
sectors ABAH0004 on ch 82,ABAM0003 on ch 82, cost =0.009
sectors ABAH0004 on ch 20,ABAQ0001 on ch 20, cost =0.009
sectors ABAH0004 on ch 20,ABAW0001 on ch 21, cost =0.003
sectors ABAI0002 on ch **,ABAZ0004 on ch **, cost =0.004
sectors ABAJ0001 on ch 45,ABAM0003 on ch 45, cost =0.002
sectors ABAJ0002 on ch 63,ABAG0003 on ch 63, cost =0.002
sectors ABAJ0003 on ch 58,ABAH0003 on ch 58, cost =0.007
sectors ABAJ0003 on ch 73,ABAH0003 on ch 73, cost =0.007
sectors ABAJ0003 on ch 97,ABAX0001 on ch 96, cost =0.001
sectors ABAK0001 on ch 73,ABAR0001 on ch 73, cost =0.003
sectors ABAK0003 on ch 44,ABAH0003 on ch 44, cost =0.012
sectors ABAK0003 on ch 87,ABAH0003 on ch 87, cost =0.012
sectors ABAK0003 on ch 39,ABAH0003 on ch 39, cost =0.012
sectors ABAK0003 on ch 44,ABAJ0001 on ch 45, cost =0.002
sectors ABAK0003 on ch 44,ABAQ0001 on ch 44, cost =0.014
